"Number","Brand","B.subtilis_","B.animalis.B.lactis","B.bifidum","B.breve","B.longum.B.infantis","L.paracasei","L.rhamnosus","L.plantarum_A_","L.acidophilus.L.helveticus","L.delbrueckii","L.salivarius","L.fermentum","L.reuteri","S.parasanguinis","S.thermophilus","W.coagulans","Other"
"1A","Brand 1",0,0.0246166647886347,0,0,0,0,0.133484731600343,0,0,0,0,0.0556475309658574,99.4646742192443,0.02166959928577,0.180811136440465,0,0.119096117674592
"1C","Brand 1",0,0.00561400357050627,0.000962400612086789,0.0059348037745352,0.0238996152001553,0,0.13650048681431,0.00208520132618804,0,0,0,0.0623956396836268,99.4976268804907,0.0271076172404446,0.147888894057337,0,0.0899844572301148
"1D","Brand 1",0,0,0,0,0.0022222151675709,0.0187300992695261,0.123174212145358,0,0.00412697102548881,0.0130158316957724,0,0.0520633267830896,99.4907952673166,0.02126977374675,0.162856625851981,0,0.111745676997851
"2B","Brand 2",0,0.0480426821302294,0,4.25430593074268,2.77467560653886,27.3510360783686,24.9408948581687,0,8.62998284791963,24.8823165001328,0,0.553333698570098,0.0775425746663352,0.209027809970121,5.52912271533868,0,0.749718697453316
"2C","Brand 2",0,0.12642694497474,0.0285262399208692,6.63142241284727,5.76922103109698,27.1578243762628,24.4483379667374,0.0298765944733364,9.02205635367136,20.0753835428915,0.0386538990643731,0.277160271893889,0.145838291666456,0.0631290753278408,5.49830614900825,0,0.687836850162971
"3C","Brand 3",0,10.0003112065478,2.77782964553574,4.56104316434818,43.4027323934896,0.025207730370647,11.416300998973,8.10599695017583,0.00871378333800143,0,2.81984252948682,0.0784240500420129,16.4317057230884,0.0283197958485047,0.194815298913889,0,0.148756729841596
"3B","Brand 3",0,9.11103045611797,3.13897111735371,4.35851657285279,41.2052373529591,0.014685735744871,12.1394389629353,9.21760693838075,0.00398612827360784,0.0130073659454572,3.50905165812446,0.0730090862745016,16.9456606797817,0.031679229963936,0.139934082026128,0,0.098184633265709
"3A","Brand 3",0,8.56760942903821,2.91506651672997,4.27446903312045,41.6076467717638,0,11.920604273196,9.26502726443318,0.0089113322441705,0.00212174577242155,3.39012539517515,0.0795654664658081,17.6480448112707,0.0218539814559419,0.154675266809531,0.0337357577815026,0.110542954743163
"4A","Brand 4",0,23.9690186602861,0,0.00535046623962812,0.00770467138506449,0,75.7371337338336,0.0042803729917025,0.005136447590043,0,0,0.0629214829780267,0.00663457813713887,0.0192616784626612,0.121348574314766,0,0.0612093337813457
"4B","Brand 4",0,22.6870821978608,0,0.00318109038689633,0.00348405137612455,0.0186321008375357,76.8609000062107,0.00212072692459755,0.00181776593536933,0,0,0.102703775348367,0.00257516840843989,0.0307505404066645,0.202680901793681,0,0.0840716745108316
"4C","Brand 4",0,23.200084479684,0,0.00148731837983434,0.0110061560107741,0,76.4801420686516,0,0,0,0,0.0663343997406117,0.00550307800538707,0.0273666581889519,0.137874413810644,0.0242432895912998,0.0459581379368812
"5B","Brand 5",0,48.9119034297008,0,0.0012764843917871,0.00957363293840325,0,50.7568488706304,0.0051059375671484,0.00723341155346023,0,0.000850989594524733,0.0725468629332335,0.00787165374935378,0.0221257294576431,0.134456355934908,0.0204237502685936,0.0497828912796969
"5C","Brand 5",0,43.8438863031423,0,0.000493219059957353,0.00131525082655294,0,55.8812262741081,0,0.00115084447323382,0,0,0.0861489291392177,0.00460337789293529,0.0175914798051456,0.12856576829555,0,0.0350185532569721
"6B","Brand 6",0,0.0203333619636418,0.00157758842821359,0,0.0432960379743063,0,0.0511839801153743,0.00333046445956203,0,0,0,99.4068267509917,0.00578449090344984,0.0485546660683517,0.28589408071293,0,0.133218578382481
"7A","Brand 7",0,77.0783842416234,0,0,0,0,0.00421697755162283,0.0229591000032799,0.00609118979678854,0,0,7.43125155208202,0.238962061258627,1.85734433495921,11.191858422007,0,2.16893212071801
"7B","Brand 7",0,99.3872351895245,0,0,0.00413002178043065,0,0.0204327393347622,0.00999900009999,0,0,0,0.147159197123766,0.00956426096520783,0.0389091525630046,0.251061850336705,0.000434739134782174,0.131073849136825
"7C","Brand 7",0,98.6723224660751,0,0,0.00244310989566394,0,1.08642043172806,0.00320658173805892,0.00274849863262193,0.00167963805326896,0,0.00458083105436988,0.109939945304877,0.00152694368478996,0.0169490749011686,0,0.0981824789319945
"8B","Brand 8",0,0.0155372726741635,0.00136727999532639,0,0.0142942908602304,0,99.8175302697146,0.000994385451146464,0,0.000745789088359848,0,0.00435043634876578,0.0756975924685246,0.001615876358113,0.0123055199579375,0,0.0555612870828087
"8C","Brand 8",0,0.0435763615389697,0.001270447858279,0.0021597613590743,0.0071145080063624,0,99.8630457208775,0,0.0045736122898044,0.0113069859386831,0.0008893135007953,0.0057170153622555,0.0151183295135201,0.002540895716558,0.0104176724378878,0,0.0322693756002866
"8A","Brand 8",0,0.601803251649024,0,0.0653597793799145,0.285178282671797,0,96.8030743760376,0.0533360463807793,0,0,0,0.217352096522829,1.08984349107546,0.0898696966473824,0.538909879038163,0,0.255273100597025
"9A","Brand 9",0,0.444689339358818,0,0.00508216387838649,0.138957059727462,0,0.710967978355332,0.0139090800882157,0.00106992923755505,0.0353076648393167,0.0461406983695616,0.367253210790771,97.3396209508194,0.0370462998503436,0.567597460522955,0,0.292358164161918
"9B","Brand 9",0,0.0503830738875905,0,0.0041173264682332,0.0192864239827766,0,0.0164693058729328,0.00216701393064905,0,0,0.000433402786129811,0.0020586632341166,99.8440833476898,0.00130020835838943,0.0130020835838943,0,0.0466991502054871
"9C","Brand 9",0,0.0199786706586489,0,0.00436154077759237,0.0257471600741743,0.0133660120603637,0.0506501509655888,0.00675335346207851,0.00351737159483256,0,0.000844169182759814,0.00168833836551963,99.7913495169945,0,0.0201193655224422,0,0.0616243503414664
"10A","Brand 10",0,0.149124112588705,0.00794750600036703,0.0403155304382255,0.277873709794651,0,98.7567210613244,0.0414715313110061,0.00375700283653714,0,0.0167620126553196,0.0260100196375648,0.383069789217691,0.0215305162555398,0.171377129389733,0,0.104040078550259
"10B","Brand 10",0,7.03840130915643,0,0.00398385618892059,0.0128709199949742,0,92.4069233291554,0.00229837857053111,0.00551610856927466,0,0,0.0226773352292403,0.341539055580923,0.00796771237784118,0.0744674656852079,0,0.0833545294912616
"10C","Brand 10",0,0.0258862422576274,0,0.00101231114973962,0.0186554483309158,0,99.7926208301819,0,0.00115692702827385,0.000723079392671157,0,0.00867695271205388,0.0416493730178586,0.00202462229947924,0.0206800706303951,0.0289231757068463,0.0579909672922268
"11C","Brand 11",0,40.6415473508452,0,0,0.00482897085344631,0,47.8318849516267,0.0027859447231421,11.4801352854758,0,0.00130010753746631,0.00482897085344631,0.013743993967501,0,0.00891502311405472,0,0.0100294010033116
"11A","Brand 11",0,38.8752247319246,0.00256470099433458,0.00153882059660075,0.0184658471592089,0,50.1868384674373,0.00564234218753607,10.7281442593015,0.00153882059660075,0,0.00435999169036878,0.0469340281963227,0,0.0169270265626082,0.0418046262076536,0.0700163371453339
"11B","Brand 11",0,40.3749652211932,0,0,0.0039747207758655,0,48.0454310584681,0,11.4829683214754,0,0,0,0.0136631026670376,0,0.00844628164871418,0.0268293652370921,0.0437219285345204
"12A","Brand 12",0,30.8039733043613,0.0333695483470433,0.177130218842154,10.5930855191681,0.178682290858296,8.7226447307155,20.0909902219463,5.65691448083191,0.0477262144963526,0.241541207512029,0.504229396243986,21.1725904081949,0.113301257178333,1.02029334161105,0,0.64352785969269
"12B","Brand 12",0,32.1189276748158,0,0,8.94261440423344,0,7.11186165323529,24.6790601122488,6.65061076552922,0,0,0.00665037325219878,20.4335093307112,0.00285015996522805,0.0149633398174473,0,0.03895218619145
"12C","Brand 12",0,31.9762732076403,0,0,9.22630918847791,0,7.02962764973169,25.1931656968974,6.93217098094044,0,0,0.00267286222423258,19.5838559121656,0,0.00945782017805375,0,0.046466681744351
"14A","Brand 14",0,0.0144817752428482,0,0,0.00153172622760895,0,99.8707780055254,0,0,0.000835487033241244,0,0.00515217003832101,0.0317485072631673,0,0.0126715533374922,0,0.0628007753319668
"14B","Brand 14",0,0.00189785731908675,0,0,0.00120772738487339,0,99.9287440842925,0,0,0,0,0.00655623437502696,0.0212214954770609,0.00276051973685346,0.0155279235198007,0,0.0220841578948276
"14C","Brand 14",0,0.0278580514803366,0.00528631699777471,0.00578977575946754,0.0319696313674947,0,99.8492980106666,0.00478285823608188,0,0,0.00151037628507849,0.00268511339569509,0.0367524896035766,0.0017621056659249,0.0115795515189351,0,0.0207257190230215
"15B","Brand 15",0,99.9661107783487,0,0,0.00110337000725072,0,0.00535922574950348,0,0,0.00063049714700041,0,0.00362535859525236,0.00725071719050471,0.00157624286750102,0.0064625957567542,0.000472872860250307,0.00740834147725482
"15C","Brand 15",0,99.9124155562464,0,0.00099366467791779,0.00922688629495091,0,0.0106464072634049,0.00681370064857913,0,0,0.00198732935583558,0.00567808387381594,0.0291001798533067,0.00298099403375337,0.0105044551665595,0.000425856290536196,0.00922688629495091
"15A","Brand 15",0,99.7712182358967,0,0.00293112172485715,0.00138842608019549,0.0340935737470226,0.114776555962827,0,0.00570797388524813,0.0143470694953534,0,0.00431954780505264,0.00215977390252632,0,0.0243745911856542,0,0.0246831303145865
"16A","Brand 16",0,17.0793247984735,0,9.07662244262942,0.0101701564024767,25.8278386238326,0.0268782704922598,2.07737551849637,7.97001256740755,0,0.000484293162022699,0.00121073290505675,0.0203403128049533,0,37.8908548500749,0,0.0188874333188853
"16C","Brand 16",0,17.8008682607894,0,9.31410103552022,0.00321327522378771,29.1877009354013,0.0596992712630032,2.14849728647363,6.36549821832345,0,0,0.00135295798896325,0.00152207773758365,0,35.0935316769745,0.0152207773758365,0.00879422692826109
"16B","Brand 16",0,17.4554424425352,0,8.99932485206317,0.00198572922596275,27.7251927260532,0.0690592497473711,1.99212768680196,7.64660197602122,0,0,0.00419209503258802,0.0024270023872878,0.00154445606463769,36.0906286818729,0,0.0114731021944514
"17B","Brand 17",0.740116546878313,0.0175478361324569,0,0.000913949798565464,0.00456974899282732,0,0.0261389642389723,0,0.00621485863024516,0,0,0.00438695903311423,0.00329021927483567,0,0.0116985574216379,98.9178834384985,0.267238921100542
"17C","Brand 17",0.777484061576738,0.0309097322041484,0.00303408414273849,0.008533361651452,0.093866978165972,0.00701631958008276,0.0269274967668041,0.00549927750871351,0.00493038673195004,0,0.00151704207136924,0.0068266893211616,0.0149807904547713,0,0.0130844878655597,98.7071008946755,0.298288397282978
"17A","Brand 17",0.857356505595379,0.0388619167949785,0,0.00331523460810243,0,0.0707250049728519,0.0414404326012804,0.00165761730405122,0.00570957071395419,0,0,0.00552539101350406,0,0,0.0318630881778734,98.6230725594348,0.320472678783235
